 2023-10-10 (10-38-32)_
Voltage	Current
V	A
0.0000E+0	-1.2506E-6
1.0000E-2	-1.2383E-6
2.0000E-2	-1.2263E-6
3.0000E-2	-1.2130E-6
4.0000E-2	-1.1995E-6
5.0000E-2	-1.1876E-6
6.0000E-2	-1.1740E-6
7.0000E-2	-1.1597E-6
8.0000E-2	-1.1469E-6
9.0000E-2	-1.1327E-6
1.0000E-1	-1.1190E-6
1.1000E-1	-1.1058E-6
1.2000E-1	-1.0915E-6
1.3000E-1	-1.0760E-6
1.4000E-1	-1.0619E-6
1.5000E-1	-1.0455E-6
1.6000E-1	-1.0284E-6
1.7000E-1	-1.0094E-6
1.8000E-1	-9.8975E-7
1.9000E-1	-9.6630E-7
2.0000E-1	-9.4184E-7
2.1000E-1	-9.1226E-7
2.2000E-1	-8.7663E-7
2.3000E-1	-8.3615E-7
2.4000E-1	-7.8721E-7
2.5000E-1	-7.2540E-7
2.6000E-1	-6.4850E-7
2.7000E-1	-5.5170E-7
2.8000E-1	-4.2936E-7
2.9000E-1	-2.6984E-7
3.0000E-1	-6.4474E-8
3.1000E-1	1.9761E-7
3.2000E-1	5.3169E-7
3.3000E-1	9.6751E-7
