 2023-05-26 (09-50-15)_
Voltage	Current
V	A
0.0000E+0	-7.0506E-7
1.0000E-2	-6.9509E-7
2.0000E-2	-6.8297E-7
3.0000E-2	-6.7109E-7
4.0000E-2	-6.6023E-7
5.0000E-2	-6.4673E-7
6.0000E-2	-6.3559E-7
7.0000E-2	-6.1680E-7
8.0000E-2	-6.0301E-7
9.0000E-2	-5.9081E-7
1.0000E-1	-5.7453E-7
1.1000E-1	-5.5892E-7
1.2000E-1	-5.3997E-7
1.3000E-1	-5.2171E-7
1.4000E-1	-5.0094E-7
1.5000E-1	-4.8104E-7
1.6000E-1	-4.4342E-7
1.7000E-1	-4.0913E-7
1.8000E-1	-3.6961E-7
1.9000E-1	-3.1954E-7
2.0000E-1	-2.5690E-7
2.1000E-1	-1.8128E-7
2.2000E-1	-7.3818E-8
2.3000E-1	4.9151E-8
2.4000E-1	2.1630E-7
2.5000E-1	4.2756E-7
2.6000E-1	6.9884E-7
2.7000E-1	1.0495E-6
2.8000E-1	1.4999E-6
2.9000E-1	2.1154E-6
